WARDS,War_Code,Cattle_2014,Sheep_2014,Pigs_2014,Poultry_2014,Cattle_2013,Sheep_2013,Pigs_2013,Poultry_2013,Cattle_2012,Sheep_2012,Pigs_2012,Poultry_2012,Cattle_2011,Sheep_2011,Pigs_2011,Poultry_2011,Cattle_2010,Sheep_2010,Pigs_2010,Poultry_2010,Cattle_2009,Sheep_2009,Pigs_2009,Poultry_2009,Cattle_2008,Sheep_2008,Pigs_2008,Poultry_2008,Cattle_2007,Sheep_2007,Pigs_2007,Poultry_2007,Cattle_2006,Sheep_2006,Pigs_2006,Poultry_2006,Cattle_2005,Sheep_2005,Pigs_2005,Poultry_2005,Cattle_2004,Sheep_2004,Pigs_2004,Poultry_2004,Cattle_2003,Sheep_2003,Pigs_2003,Poultry_2003,Cattle_2002,Sheep_2002,Pigs_2002,Poultry_2002,Cattle_2001,Sheep_2001,Pigs_2001,Poultry_2001,Cattle_2000,Sheep_2000,Pigs_2000,Poultry_2000,Cattle_1999,Sheep_1999,Pigs_1999,Poultry_1999
FINN,95ZZ07,5360,4430,4106,60000,5377,3752,5576,60000,5755,3623,1047,65200,5778,3390,1876,48487,5743,3294,1606,58990,5815,3502,1450,60330,6064,4365,1800,95790,5543,6563,500,36450,5416,6401,500,57028,7229,4960,500,76991,6792,5763,2100,72024,6905,6004,2410,62024,7226,6255,550,61502,7507,8380,550,50083,7691,9620,0,0,7981,9836,0,0
FINTONA,95YY11,4784,4763,14628,17440,4832,4369,12220,17440,4803,4820,5526,16110,4531,4858,10438,15028,4641,4339,11366,16760,4489,4347,9673,17630,4461,4214,8314,17300,4376,5360,283,0,4383,5964,382,33,5587,4950,3640,159,5591,5095,13857,51,5629,5269,13857,39,4716,5106,0,46,5449,4868,0,81,4520,4996,0,0,4659,5551,0,0
FIVEMILETOWN,95OO16,6393,2994,56867,50139,6430,2207,54758,35072,7074,1933,21048,57492,6860,1814,19539,52154,6832,1678,29349,34560,6637,1627,25682,35070,7221,1481,26315,74390,6449,2232,0,31262,6352,2193,3,42897,7484,1549,8128,38624,7759,1778,11986,39602,7638,1823,8336,44063,8557,2323,8116,43291,9074,4224,8116,21118,8189,4612,0,12323,9317,5449,0,12736
FLORENCE COURT AND KINAWLEY,95PP12,12602,16887,0,15920,12849,15504,0,126,13149,18118,0,126,12620,15746,16,0,12486,15643,16,0,12948,15235,17,0,12887,16132,3,100,14439,9760,0,0,15210,10590,0,265,14241,18930,0,261,13832,18605,0,360,14038,20135,3,281,14533,21417,3,315,14566,28071,0,265,14709,29774,0,324,15097,29657,0,253
FOREST,95RR07,3690,11613,0,0,3991,12323,0,0,3927,13779,17,0,3843,13205,32,0,3888,12479,24,0,3883,12457,3,0,4010,12728,0,0,2766,15998,0,2000,2848,17968,0,2004,4110,12894,0,166,4182,13742,0,169,4390,13867,0,163,4073,15238,21,174,3637,17559,21,164,3707,18123,0,0,3973,19527,0,0
FORKHILL,95VV17,4557,741,923,42,4564,818,0,42,4281,671,0,42,3958,770,7,0,3967,867,0,0,4387,885,0,60,4067,825,0,170,5145,4180,65,0,5630,4420,70,66,4710,1425,916,265,4616,2064,761,85,5094,2643,810,138,5087,1730,25,153,4331,3426,49,171,4910,5444,0,167,4965,6001,0,6823
FORT,95FF08,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,558,584,0,0,642,608,0,0,570,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORTWILLIAM,95GG24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOUNTAIN HILL,95AA09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOYLE SPRINGS,95MM17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALGORM,95DD14,733,834,0,0,825,676,0,0,856,751,0,0,734,708,36,0,763,484,0,0,752,582,0,0,738,740,0,7000,630,1683,85,17700,624,1541,102,20022,268,313,0,0,230,315,0,0,267,315,0,0,726,892,100,0,268,422,0,3,867,636,0,0,760,921,0,0
GALWALLY,95II11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GARDENMORE,95QQ09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
